189,Badminton,Badminton Women's Singles
190,Boxing,Boxing Men's Light-Middleweight
191,Tennis,Tennis Men's Singles
192,Wrestling,"Wrestling Men's Bantamweight, Freestyle"
193,Wrestling,"Wrestling Men's Flyweight, Freestyle"
194,Athletics,"Athletics Women's 5,000 metres"
195,Weightlifting,Weightlifting Women's Light-Heavyweight
196,Weightlifting,Weightlifting Women's Heavyweight
197,Athletics,Athletics Men's Discus Throw
198,Taekwondo,Taekwondo Men's Featherweight
199,Taekwondo,Taekwondo Men's Welterweight
200,Judo,Judo Men's Heavyweight
201,Cycling,Cycling Men's Sprint
202,Bobsleigh,Bobsleigh Men's Two
203,Wrestling,"Wrestling Men's Lightweight, Freestyle"
204,Nordic Combined,Nordic Combined Men's Team
205,Nordic Combined,Nordic Combined Men's Individual
206,Baseball,Baseball Men's Baseball
207,Rowing,Rowing Men's Coxed Fours
208,Cycling,Cycling Men's 100 kilometres Team Time Trial
209,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group
210,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning"
211,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs"
212,Gymnastics,Gymnastics Women's Individual All-Around
213,Gymnastics,Gymnastics Women's Team All-Around
214,Gymnastics,Gymnastics Women's Floor Exercise
215,Gymnastics,Gymnastics Women's Horse Vault
216,Gymnastics,Gymnastics Women's Uneven Bars
217,Gymnastics,Gymnastics Women's Balance Beam
218,Diving,Diving Women's Springboard
219,Diving,Diving Women's Synchronized Springboard
220,Athletics,"Athletics Women's 10,000 metres"
221,Sailing,Sailing Mixed 7 metres
222,Judo,Judo Women's Half-Middleweight
223,Athletics,Athletics Men's Decathlon
224,Biathlon,Biathlon Men's 10 kilometres Sprint
225,Biathlon,Biathlon Men's 20 kilometres
226,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay
227,Freestyle Skiing,Freestyle Skiing Men's Moguls
228,Wrestling,"Wrestling Men's Middleweight A, Greco-Roman"
229,Athletics,Athletics Women's Discus Throw
230,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
231,Athletics,"Athletics Women's 1,500 metres"
232,Shooting,"Shooting Women's Air Pistol, 10 metres"
233,Shooting,"Shooting Women's Sporting Pistol, 25 metres"
234,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres"
235,Canoeing,"Canoeing Men's Kayak Singles, 500 metres"
236,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres"
237,Shooting,"Shooting Men's Running Target, 50 metres"
238,Judo,Judo Women's Half-Heavyweight
239,Athletics,Athletics Women's Pole Vault
240,Rugby Sevens,Rugby Sevens Women's Rugby Sevens
241,Table Tennis,Table Tennis Men's Team
242,Figure Skating,Figure Skating Mixed Pairs
243,Freestyle Skiing,Freestyle Skiing Men's Aerials
244,Rowing,Rowing Women's Coxed Eights
245,Athletics,Athletics Women's 4 x 400 metres Relay
246,Alpine Skiing,Alpine Skiing Women's Giant Slalom
247,Alpine Skiing,Alpine Skiing Women's Super G
248,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres
249,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres
250,Cross Country Skiing,Cross Country Skiing Women's 20 kilometres
251,Cycling,"Cycling Men's 1,000 metres Time Trial"
252,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres"
253,Wrestling,"Wrestling Men's Welterweight, Freestyle"
254,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman"
255,Rowing,Rowing Women's Lightweight Double Sculls
256,Athletics,Athletics Women's 800 metres
257,Rowing,Rowing Women's Coxed Quadruple Sculls
258,Biathlon,Biathlon Men's 12.5 kilometres Pursuit
259,Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay
260,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual
261,Canoeing,"Canoeing Men's Kayak Singles, Slalom"
262,Archery,Archery Men's Individual
263,Archery,Archery Men's Team
264,Speed Skating,"Speed Skating Women's 1,500 metres"
265,Speed Skating,Speed Skating Women's Team Pursuit (6 laps)
266,Cross Country Skiing,Cross Country Skiing Men's Sprint
267,Athletics,Athletics Women's 400 metres
268,Figure Skating,Figure Skating Women's Singles
269,Speed Skating,"Speed Skating Men's 1,000 metres"
270,Trampolining,Trampolining Men's Individual
271,Beach Volleyball,Beach Volleyball Men's Beach Volleyball
272,Cycling,"Cycling Women's Mountainbike, Cross-Country"
273,Athletics,"Athletics Men's Javelin Throw, Both Hands"
274,Triathlon,Triathlon Women's Olympic Distance
275,Gymnastics,Gymnastics Women's Team Portable Apparatus
276,Cycling,"Cycling Men's Mountainbike, Cross-Country"
277,Athletics,Athletics Women's 400 metres Hurdles
278,Diving,Diving Men's Springboard
279,Wrestling,"Wrestling Men's Featherweight, Greco-Roman"
280,Table Tennis,Table Tennis Men's Singles
281,Art Competitions,Art Competitions Mixed Painting
282,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay
283,Judo,Judo Men's Open Class
284,Rowing,Rowing Women's Quadruple Sculls
285,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System"
286,Nordic Combined,Nordic Combined Men's Sprint
287,Athletics,Athletics Women's Pentathlon
288,Art Competitions,"Art Competitions Mixed Painting, Unknown Event"
289,Cycling,"Cycling Men's Team Pursuit, 4,000 metres"
290,Weightlifting,Weightlifting Women's Middleweight
291,Swimming,"Swimming Men's 1,500 metres Freestyle"
292,Wrestling,"Wrestling Women's Light-Heavyweight, Freestyle"
293,Swimming,Swimming Women's 100 metres Freestyle
294,Equestrianism,"Equestrianism Men's Jumping, Individual"
295,Equestrianism,"Equestrianism Men's Jumping, Team"
296,Equestrianism,"Equestrianism Men's Three-Day Event, Individual"
297,Equestrianism,"Equestrianism Men's Three-Day Event, Team"
298,Alpine Skiing,Alpine Skiing Women's Combined
299,Athletics,Athletics Women's High Jump
300,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual"
301,Canoeing,"Canoeing Women's Kayak Fours, 500 metres"
302,Ice Hockey,Ice Hockey Women's Ice Hockey
303,Sailing,Sailing Men's One Person Dinghy
304,Trampolining,Trampolining Women's Individual
305,Curling,Curling Men's Curling
306,Art Competitions,Art Competitions Mixed Literature
307,Judo,Judo Men's Middleweight
308,Biathlon,Biathlon Women's 15 kilometres
309,Biathlon,Biathlon Women's 3 x 7.5 kilometres Relay
310,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay
311,Judo,Judo Men's Half-Lightweight
312,Fencing,"Fencing Women's Foil, Team"
313,Swimming,Swimming Women's 200 metres Butterfly
314,Swimming,Swimming Women's 400 metres Individual Medley
315,Golf,Golf Men's Individual
316,Athletics,Athletics Men's Standing High Jump
317,Athletics,Athletics Men's Standing Long Jump
318,Athletics,Athletics Men's 20 kilometres Walk
319,Swimming,Swimming Men's 220 yard Freestyle
320,Swimming,Swimming Men's 880 yard Freestyle
321,Swimming,Swimming Men's One Mile Freestyle
322,Swimming,Swimming Men's 4 x 50 Yard Freestyle Relay
323,Swimming,Swimming Men's Plunge For Distance
324,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres"
325,Shooting,"Shooting Men's Military Rifle, Three Positions, 300 metres"
326,Shooting,"Shooting Men's Military Rifle, Any Position, 600 metres"
327,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team"
328,Shooting,"Shooting Men's Military Rifle, Prone, 300 metres"
329,Judo,Judo Men's Half-Heavyweight
330,Archery,Archery Women's Team
331,Athletics,Athletics Men's 50 kilometres Walk
332,Rowing,Rowing Women's Double Sculls
333,Sailing,Sailing Mixed 6 metres
334,Boxing,Boxing Men's Light-Heavyweight
335,Boxing,Boxing Women's Flyweight
336,Athletics,Athletics Women's 100 metres Hurdles
337,Athletics,"Athletics Men's Discus Throw, Greek Style"
338,Curling,Curling Women's Curling
339,Sailing,Sailing Mixed One Person Dinghy
340,Wrestling,"Wrestling Women's Heavyweight, Freestyle"
341,Badminton,Badminton Mixed Doubles
342,Fencing,"Fencing Women's Foil, Individual"
343,Sailing,Sailing Mixed Two Person Keelboat
344,Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team"
345,Table Tennis,Table Tennis Men's Doubles
346,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle"
347,Wrestling,"Wrestling Women's Featherweight, Freestyle"
348,Swimming,Swimming Women's 200 metres Freestyle
349,Swimming,Swimming Women's 400 metres Freestyle
350,Swimming,Swimming Women's 200 metres Individual Medley
351,Sailing,Sailing Men's Windsurfer
352,Freestyle Skiing,Freestyle Skiing Men's Slopestyle
353,Shooting,"Shooting Men's Running Target, Single Shot"
354,Shooting,"Shooting Men's Running Target, Double Shot"
355,Rugby Sevens,Rugby Sevens Men's Rugby Sevens
356,Wrestling,"Wrestling Women's Lightweight, Freestyle"
357,Modern Pentathlon,Modern Pentathlon Women's Individual
358,Canoeing,"Canoeing Men's Canadian Doubles, Slalom"
359,Judo,Judo Women's Half-Lightweight
360,Diving,Diving Women's Plain High
361,Equestrianism,"Equestrianism Men's Dressage, Individual"
362,Equestrianism,"Equestrianism Men's Dressage, Team"
363,Tennis,"Tennis Women's Singles, Covered Courts"
364,Diving,Diving Men's Plain High
365,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres"
366,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres"
367,Swimming,Swimming Women's 800 metres Freestyle
368,Sailing,Sailing Women's Two Person Dinghy
369,Alpine Skiing,Alpine Skiing Women's Downhill
370,Shooting,"Shooting Men's Free Pistol, 50 metres, Team"
371,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team"
372,Shooting,"Shooting Men's Military Rifle, Prone, 300 metres, Team"
373,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres, Team"
374,Shooting,"Shooting Men's Military Rifle, Standing, 300 metres, Team"
375,Shooting,"Shooting Men's Free Rifle, Prone, 600 metres"
376,Shooting,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team"
377,Rowing,Rowing Men's Single Sculls
378,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres"
379,Freestyle Skiing,Freestyle Skiing Women's Halfpipe
380,Athletics,Athletics Women's Heptathlon
381,Cycling,Cycling Men's Points Race
382,Synchronized Swimming,Synchronized Swimming Women's Solo
383,Equestrianism,"Equestrianism Mixed Dressage, Individual"
384,Equestrianism,"Equestrianism Mixed Dressage, Team"
385,Cross Country Skiing,Cross Country Skiing Men's 18 kilometres
386,Swimming,Swimming Men's 100 metres Breaststroke
387,Figure Skating,Figure Skating Mixed Ice Dancing
388,Shooting,"Shooting Mixed Free Pistol, 50 metres"
389,Sailing,Sailing Women's Skiff
390,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres"
391,Triathlon,Triathlon Men's Olympic Distance
392,Sailing,Sailing Women's One Person Dinghy
393,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres
394,Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon
395,Rowing,Rowing Men's 17-Man Naval Rowing Boats
396,Beach Volleyball,Beach Volleyball Women's Beach Volleyball
397,Weightlifting,Weightlifting Men's Super-Heavyweight
398,Rowing,Rowing Men's Lightweight Coxless Fours
399,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman"
400,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres"
401,Sailing,Sailing Mixed 5.5 metres
402,Equestrianism,"Equestrianism Mixed Jumping, Team"
403,Diving,Diving Men's Synchronized Platform
404,Snowboarding,Snowboarding Men's Halfpipe
405,Canoeing,"Canoeing Women's Kayak Singles, Slalom"
406,Weightlifting,Weightlifting Women's Flyweight
407,Swimming,Swimming Women's 100 metres Breaststroke
408,Swimming,Swimming Women's 200 metres Breaststroke
409,Wrestling,"Wrestling Men's Middleweight B, Greco-Roman"
410,Athletics,Athletics Men's Stone Throw
411,Athletics,"Athletics Men's Javelin Throw, Freestyle"
412,Athletics,Athletics Men's Pentathlon (Ancient)
413,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres"
414,Swimming,Swimming Women's 100 metres Butterfly
415,Weightlifting,Weightlifting Men's Heavyweight I
416,Athletics,"Athletics Women's 3,000 metres Steeplechase"
417,Athletics,"Athletics Men's Shot Put, Both Hands"
418,Ski Jumping,"Ski Jumping Men's Large Hill, Individual"
419,Ski Jumping,"Ski Jumping Men's Large Hill, Team"
420,Shooting,Shooting Women's Trap
421,Badminton,Badminton Men's Doubles
422,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay
423,Athletics,Athletics Men's 10 kilometres Walk
424,Athletics,Athletics Women's 20 kilometres Walk
425,Athletics,Athletics Women's 80 metres Hurdles
426,Sailing,Sailing Men's One Person Heavyweight Dinghy
427,Freestyle Skiing,Freestyle Skiing Women's Aerials
428,Art Competitions,"Art Competitions Mixed Painting, Paintings"
429,Tennis,"Tennis Mixed Doubles, Covered Courts"
430,Cycling,Cycling Men's Madison
431,Art Competitions,"Art Competitions Mixed Sculpturing, Statues"
432,Rugby,Rugby Men's Rugby
433,Weightlifting,Weightlifting Men's Heavyweight II
434,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres"
435,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay"
436,Cycling,Cycling Men's Individual Time Trial
437,Judo,Judo Women's Heavyweight
438,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres"
439,Gymnastics,"Gymnastics Men's Individual All-Around, 5 Events"
440,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle"
441,Biathlon,Biathlon Women's 10 kilometres Pursuit
442,Biathlon,Biathlon Women's 12.5 kilometres Mass Start
443,Biathlon,Biathlon Women's 4 x 6 kilometres Relay
444,Fencing,"Fencing Women's Sabre, Team"
445,Shooting,Shooting Men's Double Trap
446,Weightlifting,Weightlifting Men's Bantamweight
447,Taekwondo,Taekwondo Men's Heavyweight
448,Sailing,Sailing Mixed Windsurfer
449,Taekwondo,Taekwondo Women's Welterweight
450,Shooting,"Shooting Mixed Free Rifle, Three Positions, 300 metres"
451,Skeleton,Skeleton Men's Skeleton
452,Cycling,Cycling Men's 50 kilometres
453,Shooting,"Shooting Mixed Rapid-Fire Pistol, 25 metres"
